english,russian
human,человек
head,голова
hair,волосы
eye,глаз
nose,нос
mouth,рот
ear,ухо
neck,шея
shoulder,плечо
arm,рука
hand,кисть
finger,палец
leg,нога
foot,ступня
heart,сердце
brain,мозг
stomach,желудок
liver,печень
lung,легкое
skin,кожа
bone,кость
muscle,мышца
blood,кровь
vein,вена
artery,артерия
nerve,нерв
face,лицо
eye lash,ресница
eye brow,бровь
cheek,щека
chin,подбородок
forehead,лоб
lip,губа
tongue,язык
tooth,зуб
jaw,челюсть
throat,горло
voice,голос
back,спина
chest,грудь
waist,талия
hip,бедро
knee,колено
elbow,локоть
wrist,запястье
ankle,лодыжка
heel,пятка
nail,ноготь
palm,ладонь
thumb,большой палец
index finger,указательный палец
middle finger,средний палец
ring finger,безымянный палец
little finger,мизинец
rib,ребро
spine,позвоночник
intestine,кишечник
kidney,почка
bladder,мочевой пузырь
thigh,бедро
calf,икра
abdomen,живот
pelvis,таз
gland,железа
sweat,пот
saliva,слюна
tear,слеза
breath,дыхание
sigh,вздох
heartbeat,сердцебиение
fingertip,кончик пальца
nape,затылок
spit,плевок
bone marrow,костный мозг
skeleton,скелет
cartilage,хрящ
joint,сустав
tendon,сухожилие
ligament,связка
pupil,зрачок
iris,радужка
retina,сетчатка
cornea,роговица
lens,хрусталик
optic nerve,зрительный нерв
eyelid,веко
tear duct,слезный канал
jawbone,челюстная кость
upper jaw,верхняя челюсть
lower jaw,нижняя челюсть
collarbone,ключица
scapula,лопатка
sternum,грудина
diaphragm,диафрагма
esophagus,пищевод
trachea,трахея
larynx,гортань
pharynx,глотка
